,Field,Title,Company,Posted At,Location,Link
64,Engineer - Software,Senior Software Engineer :: Golang || Networking/AWS/Security  || Experience - 8 to 12 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Golang-Networking-AWS-Security-Experience-8-to-12-years/1436134
65,Engineer - Network,Software Engineer - AI network Infra/assist | 8+ yrs,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-network-Infra-assist-8-yrs/1436257
66,Engineer - Software,"Senior Software Engineer- Go /Python, AWS, Microservices- 7 to 13 Years - Bangalore",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Go-Python-AWS-Microservices-7-to-13-Years-Bangalore/1436264
67,Engineer - Software,"Software Engineering Technical Leader(C/C++,Networking, 10-16 years)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Technical-Leader-C-C-Networking-10-16-years/1436267
68,Engineer - Software,Engineering Technical Leader - Python/Selenium | 12+ years exp,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Engineering-Technical-Leader-Python-Selenium-12-years-exp/1436352
69,Engineer - Software,"Automation Test Engineer - Python, L2/L3 layer (5-8y)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Automation-Test-Engineer-Python-L2-L3-layer-5-8y/1436441
70,Engineer - Network,Software Engineer II | NSO Engineering,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-II-NSO-Engineering/1436632
71,Engineer - Network,Software Engineer II | NSO Engineering,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-II-NSO-Engineering/1436633
72,Engineer - Software,"Senior Software Engineer - C programming, MPLS LDP L2/L3 protocol development - Chennai Location",Cisco,NA,"Chennai, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-C-programming-MPLS-LDP-L2-L3-protocol-development-Chennai-Location/1436641
73,Engineer - Software,Software Engineer - Networking/Security/TCP IP/Firewall (1-3 years),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Networking-Security-TCP-IP-Firewall-1-3-years/1436892
74,Engineer - Software,"Software Engineer | Devops Release Engineer, Python/Linux-CLI Tools/Build/Jenkins| 3-5 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Devops-Release-Engineer-Python-Linux-CLI-Tools-Build-Jenkins-3-5-years/1437183
