,Field,Title,Categorty & Location,Link
58,Security,"SECURITY ARCHITECT, AI, AUTOMATION","ProfessionalAustin, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12372&source=WEB_Search_INDIA
59,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7975&source=WEB_Search_INDIA
60,Software Engineering,Software Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17098&source=WEB_Search_INDIA
61,Software Engineering,Software Developer - Python,"ProfessionalKrakow, PL",https://careers.ibm.com/job/21250445/software-developer-python-krakow-pl/?codes=WEB_Search_INDIA
62,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13744&source=WEB_Search_INDIA
63,Software Engineering,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13748&source=WEB_Search_INDIA
64,Software Engineering,Software QA Engineering - IBM Cloud Networking,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15648&source=WEB_Search_INDIA
65,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7013&source=WEB_Search_INDIA
66,Software Engineering,WXA4Z - Full Stack Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12497&source=WEB_Search_INDIA
67,Infrastructure & Technology,Drive Test Engineer,"ProfessionalSan Jose, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15863&source=WEB_Search_INDIA
68,Software Engineering,QA/Test Developer,"Entry LevelGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11015&source=WEB_Search_INDIA
69,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15371&source=WEB_Search_INDIA
70,Software Engineering,Estágio em Desenvolvimento de Sistemas,"InternshipHortolandia, BR",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10440&source=WEB_Search_INDIA
71,Software Engineering,Python React Developer,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13203&source=WEB_Search_INDIA
72,Software Engineering,"Software Architect - AI/Gen AI, Python","ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9550&source=WEB_Search_INDIA
73,Software Engineering,Software Developer,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19636&source=WEB_Search_INDIA
74,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13716&source=WEB_Search_INDIA
75,Data & Analytics,Intern Data Scientist (May 2025 - 12 months – Toronto) - IBM,"Entry LevelToronto, CA",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=5875&source=WEB_Search_INDIA
76,Software Engineering,Back-End Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10317&source=WEB_Search_INDIA
77,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7010&source=WEB_Search_INDIA
78,Data & Analytics,Data Engineer-Data Platforms (Japanese Bilingual),Entry LevelMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9112&source=WEB_Search_INDIA
79,Software Engineering,Software Developer - Java Full Stack,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15968&source=WEB_Search_INDIA
80,Software Engineering,C++ Developer - First Experience Level,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11374&source=WEB_Search_INDIA
81,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8203&source=WEB_Search_INDIA
82,Infrastructure & Technology,IBM Cloud Data Services MySQL expert,"ProfessionalBudapest, HU",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6026&source=WEB_Search_INDIA
83,Infrastructure & Technology,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16769&source=WEB_Search_INDIA
84,Software Engineering,Full Stack Developer .Net with Python and REACT,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14331&source=WEB_Search_INDIA
85,Software Engineering,zSecurity back-end application developer [threat  detection ],"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14571&source=WEB_Search_INDIA
86,Software Engineering,DevOps Developer - Japanese Bilingual,Entry LevelMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16506&source=WEB_Search_INDIA
87,Enterprise Operations,Assistant Data Scientist,"ProfessionalBratislava, SK",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15569&source=WEB_Search_INDIA
88,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6816&source=WEB_Search_INDIA
89,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7980&source=WEB_Search_INDIA
90,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13609&source=WEB_Search_INDIA
91,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8206&source=WEB_Search_INDIA
92,Data & Analytics,Application Developer-Open Source,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17102&source=WEB_Search_INDIA
93,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6993&source=WEB_Search_INDIA
94,Software Engineering,Sr. Software Developer - Full Stack,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17256&source=WEB_Search_INDIA
95,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7983&source=WEB_Search_INDIA
96,Software Engineering,OS Development Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17628&source=WEB_Search_INDIA
97,Data & Analytics,Python Developer with R and RShiny,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19144&source=WEB_Search_INDIA
98,Software Engineering,DevOps Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10590&source=WEB_Search_INDIA
99,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8200&source=WEB_Search_INDIA
100,Infrastructure & Technology,Hardware Development & support,"ProfessionalHouston, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6417&source=WEB_Search_INDIA
101,Data & Analytics,Data Engineer-Data Platforms-AWS,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16286&source=WEB_Search_INDIA
102,Software Engineering,Data Engineer-Data Platforms,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8218&source=WEB_Search_INDIA
103,Research,Quantum Demonstration Experimentalist,"ProfessionalCambridge, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18136&source=WEB_Search_INDIA
104,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15368&source=WEB_Search_INDIA
105,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13706&source=WEB_Search_INDIA
106,Consulting,AI Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14158&source=WEB_Search_INDIA
107,Infrastructure & Technology,System Software Development Engineer (AI),"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15390&source=WEB_Search_INDIA
108,Software Engineering,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16766&source=WEB_Search_INDIA
109,Software Engineering,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11651&source=WEB_Search_INDIA
110,Software Engineering,DevOps Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10587&source=WEB_Search_INDIA
